sitename,date,ecoli_value (MPN/100mL)
Foxton Loop at Harbour St Boat Ramp,2025-03-17 00:00:00,110
Foxton Loop at Harbour St Boat Ramp,2025-03-24 00:00:00,110
Foxton Loop at Harbour St Boat Ramp,2025-03-31 00:00:00,226
Foxton Loop at Harbour St Boat Ramp,2025-04-07 00:00:00,717
Foxton Loop at Harbour St Boat Ramp,2025-04-14 00:00:00,331
Foxton Loop at Harbour St Boat Ramp,2025-04-23 00:00:00,677
Foxton Loop at Harbour St Boat Ramp,2025-04-28 00:00:00,233
Foxton Loop at Harbour St Boat Ramp,2025-11-03 00:00:00,189
Foxton Loop at Harbour St Boat Ramp,2025-11-10 00:00:00,183
Foxton Loop at Harbour St Boat Ramp,2025-11-17 00:00:00,108
Foxton Loop at Harbour St Boat Ramp,2025-11-24 00:00:00,144
Foxton Loop at Harbour St Boat Ramp,2025-12-01 00:00:00,197
Foxton Loop at Harbour St Boat Ramp,2025-12-08 00:00:00,63
Foxton Loop at Harbour St Boat Ramp,2025-12-15 00:00:00,148
Foxton Loop at Harbour St Boat Ramp,2025-12-22 00:00:00,158
Foxton Loop at Harbour St Boat Ramp,2025-12-29 00:00:00,631
Foxton Loop at Harbour St Boat Ramp,2026-01-07 00:00:00,605
Foxton Loop at Harbour St Boat Ramp,2026-01-12 00:00:00,386
Foxton Loop at Harbour St Boat Ramp,2026-01-20 00:00:00,211
Foxton Loop at Harbour St Boat Ramp,2026-01-26 00:00:00,573
Foxton Loop at Harbour St Boat Ramp,2026-02-02 00:00:00,228
Foxton Loop at Harbour St Boat Ramp,2026-02-09 00:00:00,122
Foxton Loop at Harbour St Boat Ramp,2026-02-17 00:00:00,24200
Foxton Loop at Harbour St Boat Ramp,2026-02-23 00:00:00,121
Foxton Loop at Harbour St Boat Ramp,2026-03-02 00:00:00,185
Foxton Loop at Harbour St Boat Ramp,2026-03-10 00:00:00,216
Foxton Loop at Harbour St Boat Ramp,2026-03-16 00:00:00,279
Foxton Loop at Harbour St Boat Ramp,2026-03-23 00:00:00,161
Foxton Loop at Harbour St Boat Ramp,2026-03-30 00:00:00,305
Foxton Loop at Harbour St Boat Ramp,2026-04-07 00:00:00,3260
Foxton Loop at Harbour St Boat Ramp,2026-04-13 00:00:00,754
Foxton Loop at Harbour St Boat Ramp,2026-04-20 00:00:00,677
Foxton Loop at Harbour St Boat Ramp,2026-04-28 00:00:00,2247
Hautapu at Papakai Road Bridge,2016-12-01 00:00:00,100
Hautapu at Papakai Road Bridge,2016-12-07 00:00:00,1400
Hautapu at Papakai Road Bridge,2016-12-13 00:00:00,170
Hautapu at Papakai Road Bridge,2016-12-20 00:00:00,74
Hautapu at Papakai Road Bridge,2016-12-29 00:00:00,73
Hautapu at Papakai Road Bridge,2017-01-05 00:00:00,160
Hautapu at Papakai Road Bridge,2017-01-10 00:00:00,230
Hautapu at Papakai Road Bridge,2017-01-17 00:00:00,86
Hautapu at Papakai Road Bridge,2017-01-26 00:00:00,72
Hautapu at Papakai Road Bridge,2017-02-01 00:00:00,120
Hautapu at Papakai Road Bridge,2017-02-09 00:00:00,160
Hautapu at Papakai Road Bridge,2017-02-15 00:00:00,58
Hautapu at Papakai Road Bridge,2017-02-22 00:00:00,100
Hautapu at Papakai Road Bridge,2017-03-01 00:00:00,98
Hautapu at Papakai Road Bridge,2017-03-08 00:00:00,640
Hautapu at Papakai Road Bridge,2017-03-15 00:00:00,290
Hautapu at Papakai Road Bridge,2017-03-22 00:00:00,130
Hautapu at Papakai Road Bridge,2017-03-29 00:00:00,190
Hautapu at Papakai Road Bridge,2017-04-05 00:00:00,
Hautapu at Papakai Road Bridge,2017-04-12 00:00:00,180
Hautapu at Papakai Road Bridge,2017-04-20 00:00:00,190
